state_time,loop_time,motor_current,motor_volt,batt_current,batt_volt,motor_angle,motor_velocity,motor_torque,ankle_angle,ankle_velocity,ankle_torque,temperature
880469,3.005,1,0,58,182,1,-5,0.00012,0.018518518518518517,0,0.004341600000000001,0
880474,3.01,0,1200,58,182,0,-6,0.0,0.0,0,0.0,0
880479,3.015,0,1200,50,184,-1,-2,0.0,-0.018518518518518517,0,0.0,0
880484,3.02,0,1200,50,184,0,0,0.0,0.0,0,0.0,0
880489,3.025,0,1200,59,185,-1,-3,0.0,-0.018518518518518517,0,0.0,0
880494,3.03,1,1200,59,185,0,-4,0.00012,0.0,0,0.004341600000000001,0
880499,3.035,1,1200,65,185,0,0,0.00012,0.0,0,0.004341600000000001,0
880504,3.04,0,1200,65,185,-1,-7,0.0,-0.018518518518518517,0,0.0,0
880509,3.045,2,1200,64,186,-1,-5,0.00024,-0.018518518518518517,0,0.008683200000000002,0
880514,3.05,0,1200,64,186,0,4,0.0,0.0,0,0.0,0
880519,3.055,3,1200,56,186,0,-4,0.00036,0.0,0,0.013024800000000003,0
880524,3.06,0,1200,56,186,0,-1,0.0,0.0,0,0.0,0
880529,3.065,0,1200,56,185,-1,-3,0.0,-0.018518518518518517,0,0.0,0
880534,3.07,2,1200,56,185,0,-6,0.00024,0.0,0,0.008683200000000002,0
880539,3.075,-3,1200,67,185,-1,-5,-0.00036,-0.018518518518518517,0,-0.013024800000000003,0
880544,3.08,-1,1200,67,185,0,0,-0.00012,0.0,0,-0.004341600000000001,0
880549,3.085,1,1200,71,184,2,1,0.00012,0.037037037037037035,0,0.004341600000000001,0
880559,3.095,0,1200,77,183,0,0,0.0,0.0,0,0.0,0
880564,3.1,0,1200,77,183,0,3,0.0,0.0,0,0.0,0
880569,3.105,0,1200,72,184,1,3,0.0,0.018518518518518517,0,0.0,0
880574,3.11,0,1200,72,184,-1,1,0.0,-0.018518518518518517,0,0.0,0
880579,3.115,0,1200,73,186,0,-3,0.0,0.0,0,0.0,0
880584,3.12,0,1200,73,186,0,-7,0.0,0.0,0,0.0,0
880589,3.125,1,1200,72,183,-1,-5,0.00012,-0.018518518518518517,0,0.004341600000000001,0
880594,3.13,1,1200,72,183,0,0,0.00012,0.0,0,0.004341600000000001,0
880599,3.135,1,1200,65,180,0,0,0.00012,0.0,0,0.004341600000000001,0
880604,3.14,0,1200,65,180,1,2,0.0,0.018518518518518517,0,0.0,0
880609,3.145,0,1200,73,180,1,10,0.0,0.018518518518518517,0,0.0,0
880614,3.15,0,1200,73,180,1,3,0.0,0.018518518518518517,0,0.0,0
880619,3.155,2,1200,67,184,1,4,0.00024,0.018518518518518517,0,0.008683200000000002,0
880624,3.16,0,1200,67,184,1,5,0.0,0.018518518518518517,0,0.0,0
880629,3.165,2,1200,57,183,1,13,0.00024,0.018518518518518517,0,0.008683200000000002,0
880634,3.17,3,1200,57,183,1,6,0.00036,0.018518518518518517,0,0.013024800000000003,0
880639,3.175,0,1200,52,183,1,-1,0.0,0.018518518518518517,0,0.0,0
880644,3.18,0,1200,52,183,1,4,0.0,0.018518518518518517,0,0.0,0
880654,3.19,0,1200,50,184,1,4,0.0,0.018518518518518517,0,0.0,0
880659,3.195,0,1200,58,185,1,-1,0.0,0.018518518518518517,0,0.0,0
880664,3.2,1,1200,58,185,0,2,0.00012,0.0,0,0.004341600000000001,0
880669,3.205,0,1200,48,182,0,-1,0.0,0.0,0,0.0,0
880674,3.21,0,1200,48,182,0,-10,0.0,0.0,0,0.0,0
880679,3.215,2,1200,52,185,1,6,0.00024,0.018518518518518517,0,0.008683200000000002,0
880684,3.22,0,1200,52,185,1,2,0.0,0.018518518518518517,0,0.0,0
880689,3.225,1,1200,62,189,-1,-6,0.00012,-0.018518518518518517,0,0.004341600000000001,0
880694,3.23,0,1200,62,189,0,-1,0.0,0.0,0,0.0,0
880699,3.235,1,1200,77,191,-1,-6,0.00012,-0.018518518518518517,0,0.004341600000000001,0
880704,3.24,0,1200,77,191,0,-7,0.0,0.0,0,0.0,0
880709,3.245,0,1200,81,188,0,0,0.0,0.0,0,0.0,0
880714,3.25,-1,1200,81,188,0,-1,-0.00012,0.0,0,-0.004341600000000001,0
880719,3.255,1,1200,84,185,0,0,0.00012,0.0,0,0.004341600000000001,0
880724,3.26,0,1200,84,185,1,1,0.0,0.018518518518518517,0,0.0,0
880729,3.265,0,1200,79,185,0,0,0.0,0.0,0,0.0,0
880734,3.27,1,1200,79,185,0,0,0.00012,0.0,0,0.004341600000000001,0
880739,3.275,1,1200,68,186,1,0,0.00012,0.018518518518518517,0,0.004341600000000001,0
880744,3.28,-4,1200,68,186,0,-1,-0.00048,0.0,0,-0.017366400000000004,0
880749,3.285,-5,1200,60,183,0,0,-0.0006000000000000001,0.0,0,-0.021708000000000005,0
880754,3.29,0,1200,60,183,0,-2,0.0,0.0,0,0.0,0
880764,3.3,1,1200,56,182,1,4,0.00012,0.018518518518518517,0,0.004341600000000001,0
880769,3.305,0,1200,59,181,-1,-3,0.0,-0.018518518518518517,0,0.0,0
880774,3.31,0,1200,59,181,1,0,0.0,0.018518518518518517,0,0.0,0
880779,3.315,0,1200,59,181,-1,-3,0.0,-0.018518518518518517,0,0.0,0
880784,3.32,0,1200,59,181,0,0,0.0,0.0,0,0.0,0
880789,3.325,0,1200,59,183,0,1,0.0,0.0,0,0.0,0
880794,3.33,0,1200,59,183,0,2,0.0,0.0,0,0.0,0
880799,3.335,0,1200,66,183,0,-2,0.0,0.0,0,0.0,0
880804,3.34,1,1200,66,183,0,-7,0.00012,0.0,0,0.004341600000000001,0
880809,3.345,2,1200,69,184,0,-2,0.00024,0.0,0,0.008683200000000002,0
880814,3.35,0,1200,69,184,0,-2,0.0,0.0,0,0.0,0
880819,3.355,1,1200,57,182,1,4,0.00012,0.018518518518518517,0,0.004341600000000001,0
880824,3.36,1,1200,57,182,0,0,0.00012,0.0,0,0.004341600000000001,0
880829,3.365,3,1200,49,182,1,0,0.00036,0.018518518518518517,0,0.013024800000000003,0
880834,3.37,0,1200,49,182,0,2,0.0,0.0,0,0.0,0
880839,3.375,0,1200,52,184,0,0,0.0,0.0,0,0.0,0
880844,3.38,-2,1200,52,184,0,-2,-0.00024,0.0,0,-0.008683200000000002,0
880849,3.385,-3,1200,88,185,1,1,-0.00036,0.018518518518518517,0,-0.013024800000000003,0
880854,3.39,0,1200,88,185,-1,0,0.0,-0.018518518518518517,0,0.0,0
880859,3.395,-1,1200,83,183,0,0,-0.00012,0.0,0,-0.004341600000000001,0
880864,3.4,0,1200,83,183,1,-3,0.0,0.018518518518518517,0,0.0,0
880874,3.41,0,1200,90,187,0,0,0.0,0.0,0,0.0,0
880879,3.415,1,1200,69,191,1,0,0.00012,0.018518518518518517,0,0.004341600000000001,0
880884,3.42,2,1200,69,191,0,3,0.00024,0.0,0,0.008683200000000002,0
880889,3.425,0,1200,77,190,0,5,0.0,0.0,0,0.0,0
880894,3.43,0,1200,77,190,-1,-3,0.0,-0.018518518518518517,0,0.0,0
880899,3.435,1,1200,82,185,0,-2,0.00012,0.0,0,0.004341600000000001,0
880904,3.44,0,1200,82,185,1,3,0.0,0.018518518518518517,0,0.0,0
880909,3.445,0,1200,83,182,1,0,0.0,0.018518518518518517,0,0.0,0
880914,3.45,0,1200,83,182,0,0,0.0,0.0,0,0.0,0
880919,3.455,2,1200,86,183,1,4,0.00024,0.018518518518518517,0,0.008683200000000002,0
880924,3.46,0,1200,86,183,0,-5,0.0,0.0,0,0.0,0
880929,3.465,0,1200,74,183,0,0,0.0,0.0,0,0.0,0
880934,3.47,0,1200,74,183,0,-1,0.0,0.0,0,0.0,0
880939,3.475,0,1200,71,182,-1,0,0.0,-0.018518518518518517,0,0.0,0
880944,3.48,1,1200,71,182,0,-8,0.00012,0.0,0,0.004341600000000001,0
880949,3.485,5,1200,65,182,0,0,0.0006000000000000001,0.0,0,0.021708000000000005,0
880954,3.49,0,1200,65,182,2,5,0.0,0.037037037037037035,0,0.0,0
880959,3.495,0,1200,59,181,-1,-4,0.0,-0.018518518518518517,0,0.0,0
880964,3.5,2,1200,59,181,0,-2,0.00024,0.0,0,0.008683200000000002,0
880969,3.505,1,1200,65,181,0,-2,0.00012,0.0,0,0.004341600000000001,0
880974,3.51,0,1200,65,181,0,-4,0.0,0.0,0,0.0,0
880984,3.52,2,1200,65,183,0,-5,0.00024,0.0,0,0.008683200000000002,0
880989,3.525,0,1200,55,184,1,0,0.0,0.018518518518518517,0,0.0,0
880994,3.53,0,1200,55,184,1,6,0.0,0.018518518518518517,0,0.0,0
880999,3.535,1,1200,57,185,-1,-3,0.00012,-0.018518518518518517,0,0.004341600000000001,0
881004,3.54,4,1200,57,185,0,-5,0.00048,0.0,0,0.017366400000000004,0
881009,3.545,2,1200,61,186,0,-2,0.00024,0.0,0,0.008683200000000002,0
881014,3.55,0,1200,61,186,1,-3,0.0,0.018518518518518517,0,0.0,0
881019,3.555,3,1200,79,188,0,-1,0.00036,0.0,0,0.013024800000000003,0
881024,3.56,0,1200,79,188,1,5,0.0,0.018518518518518517,0,0.0,0
881029,3.565,2,1200,58,187,0,-1,0.00024,0.0,0,0.008683200000000002,0
881034,3.57,1,1200,58,187,0,0,0.00012,0.0,0,0.004341600000000001,0
881039,3.575,0,1200,43,184,1,0,0.0,0.018518518518518517,0,0.0,0
881044,3.58,0,1200,43,184,1,2,0.0,0.018518518518518517,0,0.0,0
881049,3.585,1,1200,33,183,0,0,0.00012,0.0,0,0.004341600000000001,0
881054,3.59,2,1200,33,183,0,-4,0.00024,0.0,0,0.008683200000000002,0
881059,3.595,-3,1200,59,184,-1,-5,-0.00036,-0.018518518518518517,0,-0.013024800000000003,0
881064,3.6,2,1200,59,184,0,1,0.00024,0.0,0,0.008683200000000002,0
881069,3.605,2,1200,73,185,2,7,0.00024,0.037037037037037035,0,0.008683200000000002,0
881074,3.61,1,1200,73,185,0,0,0.00012,0.0,0,0.004341600000000001,0
881079,3.615,0,1200,76,184,2,8,0.0,0.037037037037037035,0,0.0,0
881084,3.62,0,1200,76,184,1,4,0.0,0.018518518518518517,0,0.0,0
881089,3.625,0,1200,77,182,0,-5,0.0,0.0,0,0.0,0
881099,3.635,1,1200,70,183,2,3,0.00012,0.037037037037037035,0,0.004341600000000001,0
881104,3.64,2,1200,70,183,-1,-1,0.00024,-0.018518518518518517,0,0.008683200000000002,0
881109,3.645,1,1200,65,182,0,3,0.00012,0.0,0,0.004341600000000001,0
881114,3.65,0,1200,65,182,0,0,0.0,0.0,0,0.0,0
881119,3.655,2,1200,69,183,-1,-3,0.00024,-0.018518518518518517,0,0.008683200000000002,0
881124,3.66,3,1200,69,183,0,0,0.00036,0.0,0,0.013024800000000003,0
881129,3.665,4,1200,70,184,2,5,0.00048,0.037037037037037035,0,0.017366400000000004,0
881134,3.67,0,1200,70,184,0,-2,0.0,0.0,0,0.0,0
881139,3.675,-1,1200,61,185,0,-4,-0.00012,0.0,0,-0.004341600000000001,0
881144,3.68,0,1200,61,185,1,0,0.0,0.018518518518518517,0,0.0,0
881149,3.685,0,1200,54,185,0,4,0.0,0.0,0,0.0,0
881154,3.69,-2,1200,54,185,0,0,-0.00024,0.0,0,-0.008683200000000002,0
881159,3.695,-2,1200,54,184,0,0,-0.00024,0.0,0,-0.008683200000000002,0
881164,3.7,-5,1200,54,184,1,2,-0.0006000000000000001,0.018518518518518517,0,-0.021708000000000005,0
881169,3.705,0,1200,61,186,0,1,0.0,0.0,0,0.0,0
881174,3.71,0,1200,61,186,0,1,0.0,0.0,0,0.0,0
881179,3.715,0,1200,56,188,1,-6,0.0,0.018518518518518517,0,0.0,0
881184,3.72,0,1200,56,188,0,-3,0.0,0.0,0,0.0,0
881189,3.725,0,1200,44,188,0,1,0.0,0.0,0,0.0,0
881194,3.73,0,1200,44,188,0,2,0.0,0.0,0,0.0,0
881199,3.735,0,1200,60,185,-1,-1,0.0,-0.018518518518518517,0,0.0,0
881204,3.74,0,1200,60,185,0,0,0.0,0.0,0,0.0,0
881214,3.75,0,1200,63,184,0,-1,0.0,0.0,0,0.0,0
881219,3.755,3,1200,64,182,0,-3,0.00036,0.0,0,0.013024800000000003,0
881224,3.76,2,1200,64,182,0,2,0.00024,0.0,0,0.008683200000000002,0
881229,3.765,3,1200,57,181,-1,-9,0.00036,-0.018518518518518517,0,0.013024800000000003,0
881234,3.77,2,1200,57,181,0,-3,0.00024,0.0,0,0.008683200000000002,0
881239,3.775,0,1200,57,182,0,-5,0.0,0.0,0,0.0,0
